country,year,gdp_per_hour_worked_1990_100
cri,2001,111.30000305175781
cri,2002,112.0
cri,2003,115.19999694824219
cri,2004,119.69999694824219
cri,2005,124.0
cri,2006,129.8000030517578
cri,2007,130.39999389648438
cri,2008,129.10000610351562
cri,2009,131.89999389648438
cri,2010,135.0
cri,2011,141.10000610351562
cri,2012,136.6999969482422
cri,2013,140.60000610351562
cri,2014,140.6999969482422
cri,2015,143.5
cyp,1980,72.80000305175781
cyp,1981,72.80000305175781
cyp,1982,76.0999984741211
cyp,1983,78.4000015258789
cyp,1984,82.30000305175781
cyp,1985,83.19999694824219
cyp,1986,85.4000015258789
cyp,1987,88.69999694824219
cyp,1988,91.9000015258789
cyp,1989,95.5
cyp,1990,100.0
cyp,1991,100.30000305175781
cyp,1992,105.0999984741211
cyp,1993,106.0999984741211
cyp,1994,110.0999984741211
cyp,1995,116.4000015258789
cyp,1996,117.69999694824219
cyp,1997,119.4000015258789
cyp,1998,123.0999984741211
cyp,1999,126.0
cyp,2000,130.60000610351562
cyp,2001,130.6999969482422
cyp,2002,134.10000610351562
cyp,2003,133.5
cyp,2004,136.6999969482422
cyp,2005,139.3000030517578
cyp,2006,141.89999389648438
cyp,2007,144.6999969482422
cyp,2008,147.5
cyp,2009,145.8000030517578
cyp,2010,147.60000610351562
cyp,2011,147.1999969482422
cyp,2012,148.89999389648438
cyp,2013,149.6999969482422
cyp,2014,150.6999969482422
cyp,2015,151.89999389648438
cze,1990,100.0
cze,1991,92.0
cze,1992,96.5
cze,1993,97.0
cze,1994,99.80000305175781
cze,1995,104.0999984741211
cze,1996,108.30000305175781
cze,1997,108.0999984741211
cze,1998,108.5
cze,1999,111.5
cze,2000,117.0999984741211
cze,2001,126.19999694824219
cze,2002,127.5999984741211
cze,2003,134.0
cze,2004,140.10000610351562
cze,2005,146.1999969482422
cze,2006,155.8000030517578
cze,2007,162.3000030517578
cze,2008,162.6999969482422
cze,2009,158.60000610351562
cze,2010,162.10000610351562
cze,2011,165.10000610351562
cze,2012,165.8000030517578
cze,2013,165.3000030517578
cze,2014,166.89999389648438
cze,2015,169.89999389648438
dnk,1980,78.0999984741211
dnk,1981,80.30000305175781
dnk,1982,82.0999984741211
dnk,1983,84.5
dnk,1984,87.0
dnk,1985,89.4000015258789
dnk,1986,90.19999694824219
dnk,1987,92.30000305175781
dnk,1988,95.5
dnk,1989,97.30000305175781
dnk,1990,100.0
dnk,1991,102.19999694824219
dnk,1992,104.19999694824219
dnk,1993,105.9000015258789
dnk,1994,113.5
dnk,1995,115.0
dnk,1996,117.80000305175781
dnk,1997,118.69999694824219
dnk,1998,118.5999984741211
dnk,1999,119.9000015258789
dnk,2000,122.69999694824219
dnk,2001,122.19999694824219
dnk,2002,123.19999694824219
dnk,2003,125.30000305175781
dnk,2004,129.39999389648438
dnk,2005,131.39999389648438
dnk,2006,133.10000610351562
dnk,2007,133.3000030517578
dnk,2008,131.3000030517578
dnk,2009,128.8000030517578
dnk,2010,135.0
dnk,2011,134.8000030517578
dnk,2012,135.5
dnk,2013,135.39999389648438
dnk,2014,135.60000610351562
dnk,2015,137.10000610351562
est,1990,100.0
est,1991,93.0
est,1992,86.0999984741211
est,1993,85.5999984741211
est,1994,85.9000015258789
est,1995,98.0999984741211
est,1996,106.5999984741211
est,1997,118.5999984741211
est,1998,125.69999694824219
est,1999,135.3000030517578
est,2000,141.1999969482422
est,2001,149.60000610351562
est,2002,158.60000610351562
est,2003,166.39999389648438
est,2004,177.1999969482422
est,2005,187.60000610351562
est,2006,198.1999969482422
est,2007,213.6999969482422
est,2008,205.89999389648438
est,2009,210.0
est,2010,221.1999969482422
est,2011,219.60000610351562
est,2012,230.10000610351562
est,2013,233.39999389648438
est,2014,237.3000030517578
est,2015,239.3000030517578
fin,1980,74.19999694824219
fin,1981,74.4000015258789
fin,1982,76.5
fin,1983,79.0999984741211
fin,1984,81.4000015258789
fin,1985,84.0
fin,1986,87.30000305175781
fin,1987,90.0
fin,1988,93.0999984741211
fin,1989,97.69999694824219
fin,1990,100.0
fin,1991,100.9000015258789
fin,1992,104.69999694824219
fin,1993,110.30000305175781
fin,1994,115.0
fin,1995,117.69999694824219
fin,1996,120.30000305175781
fin,1997,124.30000305175781
fin,1998,129.39999389648438
fin,1999,131.6999969482422
fin,2000,137.3000030517578
fin,2001,140.39999389648438
fin,2002,142.0
fin,2003,145.3000030517578
fin,2004,150.0
fin,2005,152.6999969482422
fin,2006,156.39999389648438
fin,2007,161.3000030517578
fin,2008,159.5
fin,2009,152.10000610351562
fin,2010,157.10000610351562
fin,2011,159.60000610351562
fin,2012,157.10000610351562
fin,2013,158.10000610351562
fin,2014,158.1999969482422
fin,2015,159.5
fra,1980,75.5
fra,1981,77.19999694824219
fra,1982,82.30000305175781
fra,1983,84.30000305175781
fra,1984,86.30000305175781
fra,1985,89.5999984741211
fra,1986,91.5
fra,1987,92.4000015258789
fra,1988,95.0
fra,1989,98.0
fra,1990,100.0
fra,1991,101.4000015258789
fra,1992,103.5999984741211
fra,1993,105.0
fra,1994,107.5999984741211
fra,1995,110.5
fra,1996,111.30000305175781
fra,1997,113.69999694824219
fra,1998,116.69999694824219
fra,1999,118.5999984741211
fra,2000,123.0
fra,2001,124.4000015258789
fra,2002,128.39999389648438
fra,2003,129.8000030517578
fra,2004,130.6999969482422
fra,2005,132.3000030517578
fra,2006,136.10000610351562
fra,2007,135.89999389648438
fra,2008,134.89999389648438
fra,2009,134.10000610351562
fra,2010,136.1999969482422
fra,2011,137.89999389648438
fra,2012,138.8000030517578
fra,2013,139.5
fra,2014,139.6999969482422
fra,2015,139.60000610351562
deu,1991,109.4000015258789
deu,1992,112.19999694824219
deu,1993,114.19999694824219
deu,1994,117.30000305175781
deu,1995,119.5
deu,1996,121.80000305175781
deu,1997,125.0
deu,1998,126.5
deu,1999,128.1999969482422
deu,2000,131.5
deu,2001,135.0
deu,2002,136.6999969482422
deu,2003,137.8000030517578
deu,2004,139.1999969482422
deu,2005,141.3000030517578
deu,2006,144.0
deu,2007,146.1999969482422
